Standard Deviation of Differences: 26.652338
Mean Value of Absolute Values of Diffrences: 19.566282
Max Value of Absolute Values of Differences: 271.89612
 
  Real Values  |  Predictions  |  Differences  
   [55.83]        [47.117958]    [8.712044]  
   [330.53]       [366.554]      [-36.023987]
   [60.65]        [102.96471]    [-42.314705]
   [157.58]       [130.91391]    [26.666092] 
   [119.89]       [99.11946]     [20.770538] 
   [47.23]        [41.63109]     [5.5989113] 
   [35.4]         [65.61714]     [-30.21714] 
   [85.21]        [87.17498]     [-1.9649811]
   [79.7]         [73.391525]    [6.3084717] 
   [36.65]        [69.12742]     [-32.477417]
   [29.58]        [19.851732]    [9.728268]  
   [92.38]        [138.97531]    [-46.595314]
   [75.45]        [82.14562]     [-6.6956253]
   [77.73]        [65.14065]     [12.589355] 
   [58.23]        [43.495655]    [14.7343445]
   [140.92]       [219.03041]    [-78.11041] 
   [107.78]       [110.292534]   [-2.512535] 
   [57.22]        [55.553055]    [1.6669464] 
   [76.09]        [95.18849]     [-19.098495]
   [142.27]       [200.25966]    [-57.989655]
   [96.58]        [108.261024]   [-11.681023]
   [204.63]       [264.6841]     [-60.054108]
   [221.17]       [244.84761]    [-23.677612]
   [85.56]        [46.92957]     [38.63043]  
   [152.78]       [146.46638]    [6.313614]  
   [45.1]         [73.0326]      [-27.932602]
   [101.42]       [105.49891]    [-4.078911] 
   [17.93]        [33.37798]     [-15.447979]
   [59.34]        [78.81215]     [-19.472149]
   [76.84]        [108.236725]   [-31.396729]
   [98.14]        [95.38836]     [2.7516403] 
   [117.66]       [101.34648]    [16.313522] 
   [88.39]        [75.54125]     [12.848747] 
   [167.11]       [258.268]      [-91.158005]
   [95.9]         [134.11107]    [-38.211067]
   [123.45]       [134.73283]    [-11.282837]
   [95.78]        [79.04655]     [16.733452] 
   [83.59]        [85.31708]     [-1.7270813]
   [84.1]         [93.67309]     [-9.57309]  
   [94.42]        [78.57326]     [15.846741] 
   [93.44]        [84.46133]     [8.978676]  
   [26.28]        [37.297085]    [-11.017084]
   [250.58]       [241.30754]    [9.272461]  
   [105.78]       [133.17091]    [-27.390915]
   [163.65]       [143.47075]    [20.179245] 
   [98.18]        [141.62909]    [-43.44909] 
   [205.18]       [219.17918]    [-13.999191]
   [146.97]       [144.49423]    [2.475769]  
   [92.66]        [90.560555]    [2.0994492] 
   [50.81]        [91.5336]      [-40.7236]  
   [47.72]        [49.012386]    [-1.2923851]
   [201.85]       [181.87396]    [19.976044] 
   [58.05]        [78.95379]     [-20.90379] 
   [120.88]       [79.75262]     [41.12738]  
   [156.33]       [155.645]      [0.68499756]
   [79.4]         [71.128044]    [8.271957]  
   [175.53]       [178.90996]    [-3.379959] 
   [136.13]       [135.56973]    [0.5602722] 
   [88.02]        [32.634014]    [55.385983] 
   [127.43]       [150.84077]    [-23.410774]
   [74.48]        [57.03119]     [17.448814] 
   [252.43]       [302.0362]     [-49.6062]  
   [54.14]        [73.05753]     [-18.917534]
   [131.95]       [129.24583]    [2.7041626] 
   [103.94]       [97.08161]     [6.858391]  
   [223.6]        [183.10056]    [40.49945]  
   [152.74]       [112.80174]    [39.938263] 
